;1;1.01;1.01.01;1.01.01.01;1.01.01.02;1.01.01.03;1.01.01.04;1.01.01.05;1.01.02;1.01.02.01;1.01.02.01.01;1.01.02.01.02;1.01.02.01.03;1.01.02.01.04;1.01.02.01.05;1.01.02.01.06;1.01.02.01.07;1.01.02.01.08;1.01.02.01.09;1.01.02.02;1.01.02.02.01;1.01.02.02.02;1.01.02.03;1.01.02.03.01;1.01.03;1.01.03.01;1.01.03.01.01;1.01.03.01.02;1.01.03.01.03;1.01.03.01.04;1.01.03.01.05;1.01.03.01.06;1.01.03.01.07;1.01.03.01.08;1.01.03.01.09;1.01.03.02;1.01.03.02.01;1.01.03.02.02;1.01.03.02.03;1.01.03.02.04;1.01.03.02.05;1.01.03.02.06;1.01.03.02.07;1.01.03.02.08;1.01.03.02.09;1.01.03.02.10;1.01.03.02.15;1.01.03.02.20;1.01.03.03;1.01.03.04;1.01.04;1.01.04.01;1.01.04.02;1.01.04.03;1.01.04.04;1.01.04.05;1.01.04.06;1.01.04.07;1.01.04.08;1.01.04.09;1.01.04.10;1.01.04.11;1.01.04.19;1.01.04.20;1.01.05;1.01.06;1.01.06.01;1.01.06.01.01;1.01.06.01.02;1.01.06.01.03;1.01.06.01.04;1.01.06.01.05;1.01.06.01.06;1.01.07;1.01.07.01;1.01.07.02;1.01.07.03;1.01.07.20;1.01.08;1.01.08.01;1.01.08.01.01;1.01.08.01.02;1.01.08.01.03;1.01.08.01.04;1.01.08.01.05;1.01.08.01.06;1.01.08.01.07;1.01.08.01.08;1.01.08.01.20;1.01.08.02;1.01.08.02.01;1.01.08.02.02;1.01.08.03;1.01.08.03.01;1.01.08.03.02;1.01.08.03.03;1.01.08.03.04;1.01.08.03.05;1.01.08.03.06;1.01.08.03.07;1.01.08.03.08;1.01.08.03.09;1.01.08.03.10;1.01.08.03.11;1.01.08.03.16;1.01.08.03.17;1.01.08.03.18;1.01.08.03.19;1.01.08.03.20;1.01.08.04;1.01.09;1.01.09.01;1.01.09.01.01;1.01.09.01.02;1.01.09.01.03;1.01.09.02;1.01.09.03;1.01.09.03.01;1.01.09.03.02;1.01.09.03.03;1.01.09.03.04;1.01.09.03.05;1.01.09.03.06;1.02;1.02.01;1.02.01.01;1.02.01.01.01;1.02.01.01.02;1.02.01.01.03;1.02.01.01.04;1.02.01.01.05;1.02.01.01.06;1.02.01.01.07;1.02.01.01.08;1.02.01.01.09;1.02.01.01.10;1.02.01.02;1.02.01.02.01;1.02.01.02.02;1.02.01.02.03;1.02.01.02.04;1.02.01.03;1.02.01.03.01;1.02.01.03.02;1.02.01.03.03;1.02.01.04;1.02.01.04.01;1.02.01.04.02;1.02.01.04.03;1.02.01.04.04;1.02.01.04.05;1.02.01.04.06;1.02.01.05;1.02.01.05.01;1.02.01.05.02;1.02.01.06;1.02.01.06.01;1.02.01.06.02;1.02.01.06.03;1.02.01.06.04;1.02.01.07;1.02.01.07.01;1.02.01.07.02;1.02.01.07.03;1.02.01.07.04;1.02.01.08;1.02.01.08.01;1.02.01.08.03;1.02.01.08.04;1.02.01.09;1.02.01.09.01;1.02.01.09.02;1.02.01.09.03;1.02.01.09.04;1.02.01.09.05;1.02.01.09.06;1.02.01.09.07;1.02.01.09.08;1.02.01.09.09;1.02.01.09.10;1.02.01.09.11;1.02.01.09.12;1.02.01.09.13;1.02.01.09.14;1.02.01.09.15;1.02.01.09.16;1.02.01.09.17;1.02.01.09.20;1.02.01.10;1.02.01.10.01;1.02.01.10.02;1.02.01.10.03;1.02.01.10.04;1.02.01.10.05;1.02.01.10.06;1.02.01.10.07;1.02.01.10.08;1.02.01.10.09;1.02.01.10.10;1.02.01.10.11;1.02.01.10.12;1.02.01.10.13;1.02.01.10.14;1.02.01.10.15;1.02.01.10.16;1.02.01.10.17;1.02.01.10.18;1.02.01.10.19;1.02.01.10.20;1.02.01.11;1.02.01.11.01;1.02.01.11.02;1.02.01.11.03;1.02.02;1.02.02.01;1.02.02.01.01;1.02.02.01.02;1.02.02.01.04;1.02.02.01.05;1.02.02.01.06;1.02.02.01.07;1.02.02.02;1.02.02.02.01;1.02.02.02.02;1.02.02.02.03;1.02.02.02.04;1.02.02.02.05;1.02.02.02.06;1.02.02.02.15;1.02.03;1.02.03.01;1.02.03.01.01;1.02.03.01.02;1.02.03.01.03;1.02.03.01.04;1.02.03.01.05;1.02.03.01.06;1.02.03.01.07;1.02.03.01.08;1.02.03.01.09;1.02.03.01.10;1.02.03.01.11;1.02.03.01.12;1.02.03.01.13;1.02.03.01.14;1.02.03.01.19;1.02.03.01.20;1.02.03.02;1.02.03.02.01;1.02.03.03;1.02.03.03.01;1.02.03.03.02;1.02.03.03.03;1.02.03.03.04;1.02.03.04;1.02.03.05;1.02.03.06;1.02.03.07;1.02.03.08;1.02.04;1.02.04.01;1.02.04.01.01;1.02.04.01.02;1.02.04.01.03;1.02.04.01.04;1.02.04.01.05;1.02.04.01.06;1.02.04.01.07;1.02.04.01.08;1.02.04.01.09;1.02.04.01.10;1.02.04.01.11;1.02.04.01.12;1.02.04.01.19;1.02.04.01.20;1.02.04.02;1.02.04.02.01;1.02.04.02.02;1.02.04.02.03;1.02.04.02.04;1.02.04.02.05;1.02.04.02.06;1.02.04.02.07;1.02.04.02.08;1.02.04.02.09;1.02.04.02.10;1.03;1.03.01;1.03.02;1.03.03;1.03.04;1.03.05;1.03.06;1.04;1.04.01;1.04.02;1.04.03;1.04.04;1.04.05;1.05;1.05.01;1.05.02;1.05.03;1.05.03.01;1.05.03.02;1.05.03.03;1.05.03.04;1.05.03.05;1.05.04;1.06;1.06.01;1.06.01.01;1.06.02;1.06.02.01;1.07;1.07.01;1.07.02;1.07.03;1.07.04;1.07.05;1.07.06;1.08;1.08.01;1.08.01.01;1.08.01.02;1.08.02;ano;cvm;empresa_descr
valores;802.819.794;25.219.700;9.816.675;;;;;;14.889.970;;;;;;;;;;;;;;;;513.055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143.840.090;127.232.783;52.222.158;;;;;;;;;;;75.010.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.607.307;16.607.307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;442.022.890;19.087.463;84.547.129;338.388.298;;;;19.568.233;19.568.233;;;;;151.588.692;97.292;;151.491.400;87.055.947;9.992.106;54.443.347;;;;1.184.775;1.184.775;;;;5.553.136;5.553.136;;;;;;13.842.278;11.443.794;;;2.398.484;2010;1023;BRASIL
valores;2.246.603;1.473.791;482.488;;;;;;172.177;;;;;;;;;;;172.177;172.177;;;;465.433;465.433;;;;;;;;;;;;;;;;;;;;;;;;;272.978;;;;;;;;;;;;;;;24.685;24.685;;;;;;;5.783;4.376;1.407;;;50.247;0;;;;;;;;;;0;;;50.247;16.297;2.850;15.318;13.258;2.524;;;;;;;;;;;;;;;;;;;;;;;;;;772.812;131.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.912;61.912;;;;;;;;;;;;;69.588;;;12.919;19.028;9.065;15.318;13.258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.338;77.338;77.143;;195;;;;;;;;;;;;301.520;280.579;;;;;;;;;;;;;;;;;;;20.941;;;;;;;;;;262.454;262.454;4.103;258.351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;10456;ALPARGATAS
valores;1.102.477;786.455;65.991;;;;;;;;;;;;;;;;;;;;;;295.363;284.908;;;;;;;;;;10.455;3.370;7.085;;;;;;;;;;;;;355.930;;;;;;;;;;;;;;;63.907;63.907;;;;;;;379;;;;;4.885;;;;;;;;;;;;;;4.885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;316.022;85.838;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;39.015;39.015;;;;;;;;;;;;;46.823;;;28.740;17.888;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;565;565;;;565;;;;;;;;;;;;124.731;119.136;;;;;;;;;;;;;;;;;;;5.595;;;;;;;;;;104.888;104.888;;13.153;13.329;1.139;77.267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;10472;SARAIVA LIVR
valores;82.917;40.705;3.814;3.814;;;;;18.052;18.052;18.052;;;;;;;;;;;;;;16.461;4.951;;;;;;;;;;11.510;;;;;;;;;;;;;;;78;;;;;;;;;;;;;;;890;890;;;;;;;281;;;;;1.129;;;;;;;;;;;;;;1.129;265;864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.212;36.689;5.496;5.496;;;;;;;;;;;;;;;30.101;30.000;101;;;;;;;;;;;;;;;;;;;;;;;;;;1.092;;;994;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;457;457;;;457;;;;;;;;;;;;4.028;4.028;105;113;409;2.581;767;53;;;;;;;;;;;;;;;;;;;;;;;1.038;1.038;1.038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;10880;SONDOTECNICA
valores;147.346;32.420;1.614;;;;;;1.696;1.696;;1.696;;;;;;;;;;;;;10.629;10.629;;;;;;;;;;;;;;;;;;;;;;;;;11.441;;;;;;;;;;;;;;;3.684;3.684;;;;;;;106;;;;;3.250;;;;;;;;;;;;;;3.250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114.926;5.108;;;;;;;;;;;;;;;;;4.652;;4.652;;;;;;;;;;;;456;456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.569;64.569;64.569;;;;;;;;;;;;;;45.116;45.116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;10960;SPRINGER
valores;568.110;313.690;174.776;5.051;169.725;;;;8.502;8.502;6.603;1.899;;;;;;;;;;;;;67.320;56.181;;;;;;;;;;11.139;11.139;;;;;;;;;;;;;;45.775;;;;;;;;;;;;;;9.621;7.328;7.328;;;;;;;;;;;;368;;;;;;;;;;;;;;368;;368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;254.420;926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;302;302;;;624;;;585;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.203;199;;;199;;;;32.004;32.004;;;;;;;212.278;212.278;196.761;15.517;;;;;;;;;;;;;;;;;;;;;;;;;;;9.013;;;;;;;;;;;;;;;;9.013;9.013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;11070;WLM IND COM
valores;2.598.943;510.368;134.440;;;;;;290.496;;;;;;;;;;;;;;;;72.485;;;;;;;;;;;;;;;;;;;;;;;;;;10.005;;;;;;;;;;;;;;2.942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;765.663;384.308;384.308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;381.355;381.355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.126.165;;;;;;;29.198;29.198;;;;;97.552;625;;96.927;47.373;49.554;;;;;;;;;;54.659;54.659;;;;;;15.338;15.338;;;;2010;1120;BANESE
valores;551.556;147.391;4.313;;;;;;;;;;;;;;;;;;;;;;87.715;87.715;;;;;;;;;;;;;;;;;;;;;;;;;43.455;;;;;;;;;;;;;;;2.089;2.089;;;;;;;1.511;;;;;8.308;;;;;;;;;;;;;;8.308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;404.165;98.620;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;56.765;56.765;;;;;;;;;;;;;41.855;;;21.029;13.044;7.782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;489;0;;;0;;;;489;;;;;;;;304.928;300.844;;;;;;;;;;;;;;;;;279;;3.805;;;;;;;;;;128;128;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;11223;TEKA
valores;263.527;203.494;120.766;1.051;119.715;;;;29.591;29.591;;29.591;;;;;;;;;;;;;23.037;22.987;23.710;261;-112;-872;;;;;;50;;;;;;;;;;;;;;;27.727;5.749;29;18.746;5.815;-2.681;69;;;;;;;;;2.313;2.313;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.033;6.075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.572;1.572;;;;;;;;;2.633;2.633;;;1.870;;;1.511;359;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;33;33;;;33;;;;;;;;;;;;53.350;47.329;322;7.907;1.091;40.498;892;2.270;854;37.706;;;;;;;-5.538;-38.673;;;6.021;6.021;;;;;;;;;575;575;;32;3.081;;;;;;;;;;38;-2.576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;11231;TEKNO
valores;26.886.114;8.486.797;3.216.937;;;;;;832.077;832.077;832.077;;;;;;;;;;;;;;2.069.908;2.069.908;;;;;;;;;;;;;;;;;;;;;;;;;14.323;;;;;;;;;;;;;;;334.954;334.954;;;;;;;;;;;;2.018.598;;;;;;;;;;;;;;2.018.598;0;1.383.914;416.674;0;218.010;;;;;;;;;;;;;;;;;;;;;;;;;;18.399.317;11.758.715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.276.443;5.276.443;;;;;;;;;1.911.134;;;1.911.134;4.571.138;;;4.266.022;173.051;92.619;39.446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.370;5.370;5.199;;171;;;;;;;;;;;;5.316.799;4.578.738;;;;;;;;;;;;;;;;;;;738.061;;;;;;;;;;1.318.433;1.318.433;628.367;453.125;84.818;152.123;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;11312;OI
