;2;2.01;2.01.01;2.01.01.01;2.01.01.01.01;2.01.01.01.02;2.01.01.01.03;2.01.01.01.04;2.01.01.02;2.01.01.02.01;2.01.01.02.02;2.01.01.02.03;2.01.01.02.04;2.01.01.03;2.01.01.04;2.01.01.05;2.01.01.06;2.01.01.07;2.01.02;2.01.02.01;2.01.02.01.01;2.01.02.01.02;2.01.02.01.03;2.01.02.01.04;2.01.02.01.05;2.01.02.01.20;2.01.02.02;2.01.02.02.01;2.01.02.02.02;2.01.02.03;2.01.02.03.01;2.01.02.04;2.01.02.04.01;2.01.03;2.01.03.01;2.01.03.01.01;2.01.03.01.02;2.01.03.01.03;2.01.03.01.04;2.01.03.01.05;2.01.03.01.06;2.01.03.01.07;2.01.03.01.08;2.01.03.01.09;2.01.03.01.10;2.01.03.01.20;2.01.03.02;2.01.03.02.01;2.01.03.02.02;2.01.03.02.03;2.01.03.03;2.01.03.03.01;2.01.03.03.02;2.01.03.03.03;2.01.03.03.20;2.01.03.04;2.01.04;2.01.04.01;2.01.04.01.01;2.01.04.01.02;2.01.04.01.03;2.01.04.01.04;2.01.04.01.05;2.01.04.01.06;2.01.04.02;2.01.04.02.01;2.01.04.02.02;2.01.04.02.03;2.01.04.03;2.01.04.03.01;2.01.04.03.02;2.01.04.04;2.01.05;2.01.05.01;2.01.05.01.01;2.01.05.01.03;2.01.05.01.04;2.01.05.02;2.01.05.02.01;2.01.05.02.02;2.01.05.02.03;2.01.05.02.04;2.01.05.02.05;2.01.05.02.06;2.01.05.02.07;2.01.05.02.08;2.01.05.02.09;2.01.05.02.10;2.01.05.02.11;2.01.05.02.12;2.01.05.02.13;2.01.05.02.14;2.01.05.02.15;2.01.05.02.16;2.01.05.02.17;2.01.05.02.18;2.01.05.02.19;2.01.05.02.20;2.01.05.03;2.01.05.04;2.01.05.05;2.01.05.06;2.01.05.07;2.01.05.08;2.01.06;2.01.06.01;2.01.06.01.01;2.01.06.01.02;2.01.06.01.03;2.01.06.01.04;2.01.06.01.05;2.01.06.01.06;2.01.06.01.07;2.01.06.01.08;2.01.06.02;2.01.06.02.01;2.01.06.02.02;2.01.06.02.03;2.01.06.02.04;2.01.06.02.05;2.01.06.02.06;2.01.06.02.07;2.01.06.02.08;2.01.06.02.09;2.01.06.02.10;2.01.06.02.11;2.01.06.02.12;2.01.06.02.13;2.01.06.02.14;2.01.06.02.15;2.01.06.02.16;2.01.06.02.17;2.01.06.02.18;2.01.07;2.01.07.01;2.01.07.01.01;2.01.07.02;2.01.07.02.01;2.02;2.02.01;2.02.01.01;2.02.01.01.01;2.02.01.01.02;2.02.01.01.03;2.02.01.01.04;2.02.01.01.05;2.02.01.02;2.02.01.02.01;2.02.01.02.02;2.02.01.02.03;2.02.01.03;2.02.01.03.01;2.02.01.03.02;2.02.01.03.03;2.02.01.03.04;2.02.01.04;2.02.01.04.01;2.02.01.04.02;2.02.01.04.03;2.02.01.04.04;2.02.01.05;2.02.01.05.01;2.02.01.06;2.02.01.06.01;2.02.01.06.02;2.02.01.07;2.02.01.07.01;2.02.01.07.02;2.02.01.07.03;2.02.01.08;2.02.01.08.01;2.02.02;2.02.02.01;2.02.02.01.01;2.02.02.01.03;2.02.02.01.04;2.02.02.02;2.02.02.02.01;2.02.02.02.02;2.02.02.02.03;2.02.02.02.04;2.02.02.02.05;2.02.02.02.06;2.02.02.02.07;2.02.02.02.08;2.02.02.02.09;2.02.02.02.10;2.02.02.02.11;2.02.02.02.12;2.02.02.02.13;2.02.02.02.14;2.02.02.02.15;2.02.02.02.16;2.02.02.02.17;2.02.02.02.19;2.02.02.02.20;2.02.03;2.02.03.01;2.02.03.01.01;2.02.03.01.02;2.02.03.01.03;2.02.03.01.04;2.02.04;2.02.04.01;2.02.04.01.01;2.02.04.01.02;2.02.04.01.03;2.02.04.01.04;2.02.04.01.05;2.02.04.01.06;2.02.04.01.07;2.02.04.01.08;2.02.04.01.09;2.02.04.02;2.02.04.02.01;2.02.04.02.02;2.02.04.02.03;2.02.04.02.04;2.02.04.02.05;2.02.04.02.06;2.02.04.02.07;2.02.04.02.08;2.02.04.02.09;2.02.04.02.10;2.02.04.02.11;2.02.04.02.19;2.02.04.02.20;2.02.05;2.02.05.01;2.02.05.01.01;2.02.05.02;2.02.05.02.01;2.02.05.02.02;2.02.05.02.03;2.02.05.02.08;2.02.05.02.20;2.02.06;2.02.06.01;2.02.06.01.01;2.02.06.02;2.02.06.02.01;2.02.06.02.02;2.02.06.03;2.02.06.03.01;2.03;2.03.01;2.03.01.01;2.03.01.02;2.03.01.03;2.03.01.04;2.03.02;2.03.02.01;2.03.02.02;2.03.02.03;2.03.02.04;2.03.02.05;2.03.02.06;2.03.02.07;2.03.02.08;2.03.02.09;2.03.02.10;2.03.02.11;2.03.02.12;2.03.02.13;2.03.03;2.03.03.01;2.03.03.02;2.03.04;2.03.04.01;2.03.04.02;2.03.04.03;2.03.04.04;2.03.04.05;2.03.04.06;2.03.04.07;2.03.04.08;2.03.04.09;2.03.04.10;2.03.04.11;2.03.04.12;2.03.04.13;2.03.04.14;2.03.04.15;2.03.04.16;2.03.04.17;2.03.04.18;2.03.04.19;2.03.04.20;2.03.05;2.03.06;2.03.06.01;2.03.06.02;2.03.06.03;2.03.06.04;2.03.06.05;2.03.06.06;2.03.06.07;2.03.07;2.03.07.01;2.03.07.02;2.03.08;2.03.08.01;2.03.08.02;2.03.08.03;2.03.08.04;2.03.08.05;2.03.08.06;2.03.08.07;2.03.09;2.04;2.04.01;2.04.02;2.04.03;2.05;2.05.01;2.05.02;2.05.03;2.06;2.06.01;2.06.02;2.06.03;2.06.04;2.06.05;2.06.06;2.06.07;2.06.08;2.06.09;2.07;2.07.01;2.07.02;2.08;2.08.01;2.08.01.01;2.08.01.02;2.08.01.03;2.08.01.04;2.08.01.05;2.08.01.06;2.08.02;2.08.02.01;2.08.02.02;2.08.02.03;2.08.02.04;2.08.02.05;2.08.02.06;2.08.02.07;2.08.02.08;2.08.02.09;2.08.03;2.08.04;2.08.04.01;2.08.04.02;2.08.04.03;2.08.04.04;2.08.04.05;2.08.04.06;2.08.04.07;2.08.04.08;2.08.04.09;2.08.04.10;2.08.04.11;2.08.05;2.08.06;2.08.06.01;2.08.06.02;2.08.06.03;2.08.07;2.08.08;2.08.08.01;2.08.08.02;2.08.08.03;2.08.08.04;2.08.08.05;2.08.09;ano;cvm;empresa_descr
valores;802.819.794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.202.303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;626.821.814;359.301.399;;;;;19.796.775;;;;;;;;;;;;;;142.199.028;;;10.827.769;;;;;;;;;;;;;;;;;;;;;94.696.843;;;;;;;;;;;;;;;;;;;;;6.904.250;;;;11.293.729;5.967.967;5.325.762;;98.178.762;30.244.136;67.934.626;;;;;;;;;;;54.418.936;33.077.996;;;;;;;-452;;;;;-452;;;;;;16.889.417;;;;;;;;;;;;3.872.661;;;;;;477.540;;;;;;101.774;2010;1023;BRASIL
valores;2.246.603;622.774;88.021;15.084;;;;;72.937;;;;;;;;;;212.777;143.737;;;;;;;69.040;;;;;;;28.629;22.728;5.494;17.234;;;;;;;;;;5.901;;;;;;;;;;226.371;226.036;151.314;74.722;;;;;;;;;335;;;;58.129;;;;;58.129;495;;;13.367;44.267;;;;;;;;;;;;;;;;;;;;;;8.847;8.847;;8.428;;419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275.756;69.589;69.438;69.438;0;;;;;;;;151;;;;;;;;;;;;;;;;;;;;;122.214;;;;;122.214;;;63.403;55.415;3.396;;;;;;;;;;;;;;;50.945;50.945;;;;;33.008;33.008;13.104;15.390;2.224;2.290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.348.073;441.171;;;;;173.795;;;;;;;177.739;-7.016;3.072;;;;;;;;728.674;49.676;;;;351.130;;333.000;24.150;-29.282;;;;;;;;;;;;;36.586;;;;;;;;-69.751;;;;;;;;;;;37.598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;10456;ALPARGATAS
valores;1.102.477;470.639;17.147;8.364;;;;;8.783;;;;;;;;;;279.076;274.083;;;;;;;4.993;;;;;;;13.810;12.561;4.161;8.400;;;;;;;;;;923;;;;326;;;;;;96.875;96.254;96.254;;;;;;;;;;621;621;;;50.631;;;;;50.631;;11.723;;18.828;8.727;0;0;6.953;721;3.679;;;;;;;;;;;;;;;;;13.100;;;;;;;;;;13.100;;;;5.485;7.615;;;;;;;;;;;;;;;;;;;207.374;144.137;143.619;143.619;;;;;;;;;518;518;;;;;;;;;;;;;;;;;;;;5.929;;;;;5.929;;;435;5.138;356;;;;;;;;;;;;;;;37.043;37.043;;;;;20.265;20.265;20.022;;;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;424.464;190.978;;;;;;;;;;;;;;;;;;;;;;222.156;25.028;;;;;;;7.795;-1.965;187.858;3.440;;;;;;;;;;;11.279;;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;10472;SARAIVA LIVR
valores;82.917;13.232;846;;;;;;846;;;;;;;;;;737;737;;;;;;;;;;;;;;3.242;2.875;301;2.197;377;;;;;;;;;;;;;367;;;;;;;;;;;;;;;;;;;;;;5.547;;;;;5.547;4.373;;;1.174;;;;;;;;;;;;;;;;;;;;;;;2.860;2.860;;2.860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.293;1.293;;;;;4.374;;;;;;;;;;;4.374;;;;699;1.255;519;1.901;;;;;;;;;;;;;;;;;;;;;;;;64.018;16.550;5.700;5.700;5.700;-550;266;;;;;;;266;;;;;;;;;;47.726;2.742;;35.697;2.580;6.707;;;;;;;;;;;;;;;;;-548;-740;192;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;10880;SONDOTECNICA
valores;147.346;26.750;;;;;;;;;;;;;;;;;7.774;7.774;;;;;;;;;;;;;;4.273;4.273;4.273;;;;;;;;;;;;;;;;;;;;;10.456;10.456;10.456;;;;;;;;;;;;;;2.963;2.963;;;2.963;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.284;1.284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.369;1.969;1.969;1.969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.282;;;;;1.282;;;1.282;;;;;;;;;;;;;;;;;3.968;3.968;;;;;1.150;1.150;;1.150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112.227;78.246;;;;;36;36;;;;;;;;;;;;;1.007;;;15.226;4.890;;;6.496;3.744;;96;;;;;;;;;;;;;;;1.266;;;;;;;;;;;;;;;;;;;16.446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;10960;SPRINGER
valores;568.110;101.977;3.901;2.879;;;;;1.022;;;;;;;;;;31.770;31.770;;;;;;;;;;;;;;5.015;4.685;1.373;0;3.312;;;;;;;;;230;;;;100;;;;;;0;0;0;;;;;;;;;;;;;;61.291;1.128;1.128;;;60.163;;2.220;;53.575;1.100;3.268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.832;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;0;;;;;;;;;;;;;;;;;29.165;29.165;;;;;667;667;667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;436.301;137.375;;;;;;;;;;;;;;;;;;;102.902;;;157.304;17.404;139.900;;;;;;;;;;;;;;;;;;;;38.133;;;;;;;;;;;;;;;;;;;587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;11070;WLM IND COM
valores;2.598.943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.067.427;2.003.986;;;;;63.441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.698;;;;39.764;;;;248.961;90.673;158.288;;;;;;;;;;;216.093;100.920;;;;;;;;;;;;;;;;;;94.166;7.060;87.106;;;;;;;;;;;;;;;;;;;;;;21.007;2010;1120;BANESE
valores;551.556;780.646;54.150;47.168;;;;;6.982;;;;;;;;;;61.522;59.467;;;;;;;2.055;;;;;;;58.830;20.306;2.427;4.245;11.202;2.432;;;;;;;;36.375;;;;2.149;;;;;;223.918;214.349;213.856;493;;;;;9.569;;;;;;;;23.277;7.950;;;7.950;15.327;2.418;;;3.854;9.055;;;;;;;;;;;;;;;;;;;;;;358.949;358.949;34.721;324.228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;446.569;25.009;280;280;;;;;24.729;;;;;;;;;;;;;;;;;;;;;;;;;192.157;;;;;192.157;;;27.333;78.027;427;54.565;30.758;1.047;;;;;;;;;;;;84.769;84.769;;;;;141.515;139.402;114.609;5.123;;19.670;;;;;;2.113;;;;2.113;;;;;;;;;;;;;;;;;;;3.119;;;3.119;;;;;-675.659;7.000;;;;;;;;;;;;;;;;;;;96.163;;;358;358;;;;;;;;;;;;;;;;;;;;-822.796;43.168;;;;;;;;434;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;11223;TEKA
valores;263.527;23.786;3.238;707;;;;;2.531;;;;;;;;;;7.681;7.407;;;;;;;274;;;;;;;1.883;1.462;829;;;;;;;;;;633;414;;;;7;;;;;;4.555;4.555;4.555;;;;;;;;;;;;;;5.833;;;;;5.833;4.709;;;338;509;;;;;;;;;;;;;;;277;;;;;;;596;308;282;26;;;;;;;288;;;;92;196;;;;;;;;;;;;;;;;;;;17.608;5.185;5.185;5.185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;0;11.008;11.008;;;;;1.415;1.415;98;1.317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;222.133;151.500;;;;;1.740;;;;;;;1.740;;;;;;;;;;48.609;15.318;;;;26.177;;;7.114;;;;;;;;;;;;;;20.284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;11231;TEKNO
valores;26.886.114;6.690.689;171.782;171.782;;;;;;;;;;;;;;;1.636.598;1.636.598;;;;;;;;;;;;;;1.053.134;196.844;196.844;;;;;;;;;;;856.290;;;;;;;;;;1.044.226;1.044.226;989.245;54.981;;;;;;;;;;;;;1.470.037;;;;;1.470.037;568.840;;;70.719;611.805;35.046;183.627;;;;;;;;;;;;;;;;;;;;1.314.912;1.314.912;53.690;72.625;77.941;1.110.656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.858.586;3.320.860;3.320.860;3.320.048;812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.891.249;;;;;1.891.249;;;692.711;0;573.004;394.916;184.070;46.548;;;;;;;;;;;;11.216;11.216;;;;;3.635.261;3.635.261;220.191;864.589;575.365;1.975.116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.336.839;3.731.059;;;;;5.869.560;458.684;2.967.829;;;;;123.558;126.372;1.415.970;745.756;31.287;104;;;;;1.735.869;383.527;;;;;;;0;-149.642;1.501.984;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;11312;OI
