;3.01;3.01.01;3.01.01.01;3.01.01.02;3.01.02;3.01.02.01;3.01.02.02;3.01.03;3.01.03.01;3.01.03.02;3.01.03.03;3.01.04;3.01.04.01;3.01.04.02;3.01.04.03;3.01.05;3.01.06;3.01.07;3.01.08;3.01.09;3.01.10;3.01.11;3.01.12;3.01.13;3.01.14;3.01.15;3.01.16;3.01.17;3.02;3.02.01;3.02.01.01;3.02.01.02;3.02.01.03;3.02.02;3.02.02.01;3.02.02.02;3.02.02.03;3.02.03;3.02.03.01;3.02.03.02;3.02.03.03;3.02.04;3.02.04.01;3.02.04.02;3.02.04.03;3.02.05;3.02.06;3.02.07;3.02.08;3.02.09;3.02.10;3.02.11;3.02.12;3.02.13;3.02.14;3.02.15;3.02.16;3.02.17;3.03;3.04;3.04.01;3.04.01.01;3.04.01.02;3.04.01.03;3.04.01.04;3.04.01.05;3.04.01.06;3.04.01.07;3.04.01.08;3.04.01.09;3.04.01.10;3.04.01.11;3.04.01.12;3.04.01.13;3.04.01.14;3.04.01.15;3.04.01.16;3.04.01.17;3.04.01.18;3.04.01.20;3.04.02;3.04.02.01;3.04.02.02;3.04.02.03;3.04.02.04;3.04.02.05;3.04.02.06;3.04.02.07;3.04.02.08;3.04.02.09;3.04.02.10;3.04.02.11;3.04.02.12;3.04.02.13;3.04.02.14;3.04.02.15;3.04.02.16;3.04.02.17;3.04.02.18;3.04.02.19;3.04.02.20;3.04.03;3.04.03.01;3.04.03.02;3.04.03.03;3.04.03.04;3.04.03.05;3.04.03.06;3.04.04;3.04.04.01;3.04.04.02;3.04.04.03;3.04.04.04;3.04.04.05;3.04.04.06;3.04.04.07;3.04.04.08;3.04.04.09;3.04.04.10;3.04.04.11;3.04.04.12;3.04.04.13;3.04.04.14;3.04.04.20;3.04.05;3.04.05.01;3.04.05.02;3.04.05.03;3.04.05.04;3.04.05.05;3.04.05.06;3.04.05.07;3.04.05.08;3.04.05.09;3.04.05.10;3.04.05.11;3.04.05.12;3.04.05.13;3.04.05.14;3.04.05.20;3.04.06;3.04.06.01;3.04.06.02;3.04.06.03;3.04.06.04;3.04.06.05;3.04.06.06;3.04.06.07;3.04.07;3.04.07.01;3.04.08;3.05;3.05.01;3.05.02;3.05.03;3.05.04;3.05.05;3.05.06;3.06;3.06.01;3.06.01.01;3.06.01.02;3.06.01.03;3.06.01.04;3.06.01.05;3.06.01.06;3.06.01.07;3.06.01.08;3.06.01.09;3.06.02;3.06.02.01;3.06.02.02;3.06.02.03;3.06.02.04;3.06.02.05;3.06.02.06;3.06.02.07;3.06.02.08;3.06.02.09;3.06.02.10;3.06.02.11;3.07;3.08;3.08.01;3.08.01.01;3.08.02;3.09;3.09.01;3.09.02;3.10;3.10.01;3.10.01.01;3.10.01.02;3.10.01.03;3.10.01.04;3.10.01.20;3.10.02;3.10.02.01;3.10.02.02;3.10.02.03;3.11;3.11.01;3.11.02;3.12;3.12.01;3.12.02;3.13;3.13.01;3.13.02;3.99;3.99.01;3.99.01.01;3.99.01.02;3.99.01.03;3.99.01.04;3.99.02;3.99.02.01;3.99.02.02;3.99.02.03;3.99.02.04;ano;cvm;empresa_descr
valores;85.143.206;85.143.206;;;;;;;;;;;;;;;;;;;;;;;;;;;-50.775.741;-43.061.187;;;;-7.714.554;;;;;;;;;;;;;;;;;;;;;;;;;34.367.465;-17.816.599;;;;;;;;;;;;;;;;;;;;;-14.494.994;;;;;;;;;;;;;;;;;;;;;-8.630.926;;;;;;;;;;;;;;;;;;;;;;;23.855.006;13.602.500;-2.175.394;364.147;127.620;1.928.181;10.007.952;;;;;;;;;;-18.545.685;-2.948.594;-1.013.015;-14.584.076;;;;;;;;16.550.866;;;;;;;-5.220.521;-6.272.346;;;;;;;;;;1.051.825;;;;;;;;;;;;11.330.345;;;;;11.330.345;11.296.009;34.336;;;;;;;;;;;;;;;;;;;;;;;4,17000;;;;;4,14000;;;;2010;1023;BRASIL
valores;2.239.156;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.217.751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.021.405;-697.180;-546.472;;;;;;;;;;;;;;;;;;;;-120.391;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.362;;;;;;;;;;;;;;;;-46.457;-16.821;-29.636;;;;;;;;;;;;;;-9.222;;;;;;;;;;;324.225;;;;;;;8.958;52.237;2.330;49.907;;;;;;;;-43.279;0;-4.546;-38.733;;;;;;;;;333.183;-25.972;-31.214;;5.242;307.211;;;3.241;3.241;;;;;;;;;;310.452;306.341;4.111;;;;;;;;;;;;;;;;;;2010;10456;ALPARGATAS
valores;1.564.936;1.713.111;;;-148.175;;;;;;;;;;;;;;;;;;;;;;;;-890.082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;674.854;-557.570;-414.809;;;;;;;;;;;;;;;;;;;;-121.206;-10.652;-1.234;-5.485;-103.835;;;;;;;;;;;;;;;;;;;;;;;;12.961;;;;;;;;;;;;;;;;-34.516;-27.273;;-7.243;;;;;;;;;;;;;;;;;;;;;;;;117.284;;;;;;;-32.726;3.337;;;;;;;;;;-36.063;;;;;;;;;;;;84.558;-23.535;-19.305;;-4.230;61.023;;;;;;;;;;;;;;61.023;61.022;1;;;;;;;;;2,15720;2,15720;;;;2,15720;2,15340;;;2010;10472;SARAIVA LIVR
valores;82.393;94.716;;;-201;;;-12.122;;;;;;;;;;;;;;;;;;;;;-52.251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.142;-18.697;;;;;;;;;;;;;;;;;;;;;-18.358;;;;;;;;;;;;;;;;;;;;;;;;;;;;436;;;;;;;;;;;;;;;;-775;-77;-698;;;;;;;;;;;;;;;;;;;;;;;;;11.445;;;;;;;-1.137;2.920;;;;;;;;;;-4.057;;;;;;;;;;;;10.308;-4.790;-5.393;;603;5.518;;;;;;;;;;;;;;5.518;5.518;;;;;;;;;;1.922,00000;1.761,00000;1.835,00000;;;1.922,00000;1.761,00000;1.835,00000;;2010;10880;SONDOTECNICA
valores;70.919;;;;;;;;;;;;;;;;;;;;;;;;;;;;-61.219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.700;-6.199;-4.433;;;;;;;;;;;;;;;;;;;;-15.146;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.791;;;;;;;;;;;;;;;;-51;;;;;;;;;;;;;;;;1.640;;;;;;;;;;;3.501;;;;;;;-1.469;2.070;;;;;;;;;;-3.539;;;;;;;;;;;;2.032;0;0;;0;2.032;;;;;;;;;;;;;;2.032;3.830;-1.798;;;;;;;;;;;;;;;;;;2010;10960;SPRINGER
valores;982.786;;;;;;;;;;;;;;;;;;;;;;;;;;;;-844.472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138.314;-66.492;;;;;;;;;;;;;;;;;;;;;-85.885;-4.729;-49.961;-4.040;-2.195;-6.307;-1.577;-2.465;-1.186;-1.626;-373;-1.773;-1.021;-229;-288;-918;-1.574;-5.623;;;;;;;;;;;21.183;11.124;0;7.405;2.654;;;;;;;;;;;;-2.790;-2.790;;;;;;;;;;;;;;;1.000;1.000;;;;;;;;;;71.822;;;;;;;5.530;16.151;16.151;;;;;;;;;-10.621;-10.621;;;;;;;;;;;77.352;-21.862;-21.862;;;55.490;;;-368;-368;;;;;;;;;;55.122;55.143;-21;;;;;;;;;;;;;;;;;;2010;11070;WLM IND COM
valores;354.720;6.955;;;89.595;;;258.170;;;;;;;;;;;;;;;;;;;;;-140.908;-127.394;;;;-5.131;;;;-8.383;;;;;;;;;;;;;;;;;;;;;213.812;-105.648;105.043;;;;;;;;;;;;;;;;;;;;-122.645;;;;;;;;;;;;;;;;;;;;;-86.701;;;;;;;-21.604;;;;;;;;;;;;;;;;100.984;;;;;;;;;;;;;;;;-80.725;;;;;;;;;;;108.164;;;;;;;-40.073;-42.365;;;;;;;;;;2.292;;;;;;;;;;;;68.091;;;;;68.091;63.690;4.401;;;;;;;;;;;;;;;;;;;;;;;5,17000;5,17000;;;;;;;;2010;1120;BANESE
valores;327.485;;;;;;;;;;;;;;;;;;;;;;;;;;;;-242.239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85.246;-78.236;-56.468;;;;;;;;;;;;;;;;;;;;-19.142;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.703;;;;;;;;;;;;;;;;-17.329;;;;;;;;;;;;;;;;;;;;;;;;;;;7.010;;;;;;;-115.480;2.454;;;;;;;;;;-117.934;;;;;;;;;;;;-108.470;-29.861;-970;;-28.891;-138.331;;;;;;;;;;;;;;-138.331;-138.348;17;;;;;;;;;-3,60622;-3,60622;;;;-3,60622;-3,60622;;;2010;11223;TEKA
valores;139.180;182.786;;;-43.606;;;;;;;;;;;;;;;;;;;;;;;;-99.018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.162;-19.019;-7.581;-3.518;-244;-932;-175;-333;170;;;;;;;;;;;;;-2.549;-11.727;-1.537;-5.197;-341;-335;-427;-1.298;-797;-509;;;;;;;;;;;;-1.286;;;;;;;;335;66;;;;;;;;;;;;;;269;-46;;;;;;;;;;;;;;;;;;;;;;;;;;;21.143;;;;;;;12.279;14.606;;;;;;;;;;-2.327;;;;;;;;;;;;33.422;-8.541;-9.347;;806;24.881;;;;;;;;;;;;;;24.881;24.881;;;;;;;;;;9,55121;9,55121;;;;9,55121;9,55121;;;2010;11231;TEKNO
valores;10.263.292;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4.732.081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.531.211;-3.071.681;-1.025.010;;;;;;;;;;;;;;;;;;;;-1.538.941;;;;;;;;;;;;;;;;;;;;;;;;;;;;523.962;;;;;;;;;;;;;;;;-1.031.692;;;;;;;;;;;;;;;;;;;;;;;;;;;2.459.530;;;;;;;-80.255;979.455;;;;;;;;;;-1.059.710;;;;;;;;;;;;2.379.275;-408.415;-149.117;;-259.298;1.970.860;;;;;;;;;;;;;;1.970.860;1.971.023;-163;;;;;;;;;3,34000;3,34000;;;;3,34000;3,34000;;;2010;11312;OI
