;Evento;Aprovação;Início Pagamento;Espécie de Ação;Classe de Ação;Provento por Ação (Reais/Ação);ano;cvm;empresa_descr
0;Reunião de Diretoria;09/11/2010;30/11/2010      ;Ordinária;              ;0,13142;2010;1023;BRASIL
1;Reunião de Diretoria;15/09/2010;30/11/2010      ;Ordinária;              ;0,23558;2010;1023;BRASIL
2;Reunião de Diretoria;15/09/2010;30/11/2010      ;Ordinária;              ;0,00049;2010;1023;BRASIL
3;Reunião de Diretoria;15/09/2010;30/11/2010      ;Ordinária;              ;0,00922;2010;1023;BRASIL
4;Reunião de Diretoria;07/12/2010;30/12/2010      ;Ordinária;              ;0,23972;2010;1023;BRASIL
5;Reunião de Diretoria;15/02/2011;28/02/2011      ;Ordinária;              ;0,32522;2010;1023;BRASIL
0;Reunião do Conselho de Administração;12/03/2010;20/04/2010      ;Ordinária;              ;0,03290;2010;10456;ALPARGATAS
1;Reunião do Conselho de Administração;12/03/2010;20/04/2010      ;Preferencial;              ;0,03620;2010;10456;ALPARGATAS
2;Reunião do Conselho de Administração;14/05/2010;30/06/2010      ;Ordinária;              ;0,05480;2010;10456;ALPARGATAS
3;Reunião do Conselho de Administração;14/05/2010;30/06/2010      ;Preferencial;              ;0,06030;2010;10456;ALPARGATAS
4;Reunião do Conselho de Administração;13/08/2010;30/09/2010      ;Ordinária;              ;0,04110;2010;10456;ALPARGATAS
5;Reunião do Conselho de Administração;13/08/2010;30/09/2010      ;Preferencial;              ;0,04520;2010;10456;ALPARGATAS
6;Reunião do Conselho de Administração;12/11/2010;21/12/2010      ;Ordinária;              ;0,04490;2010;10456;ALPARGATAS
7;Reunião do Conselho de Administração;12/11/2010;21/12/2010      ;Preferencial;              ;0,04940;2010;10456;ALPARGATAS
0;Assembléia Geral Ordinária;20/04/2010;30/04/2010      ;Ordinária;                     ;0,73410;2010;10472;SARAIVA LIVR
1;Assembléia Geral Ordinária;20/04/2010;30/04/2010      ;Preferencial;Preferencial Classe A;0,73410;2010;10472;SARAIVA LIVR
0;Reunião do Conselho de Administração;21/12/2010;                ;Ordinária;                     ;1,40885;2010;10880;SONDOTECNICA
1;Reunião do Conselho de Administração;21/12/2010;                ;Preferencial;Preferencial Classe A;1,54973;2010;10880;SONDOTECNICA
2;Reunião do Conselho de Administração;21/12/2010;                ;Preferencial;Preferencial Classe B;1,56381;2010;10880;SONDOTECNICA
3;Reunião do Conselho de Administração;05/11/2010;16/11/2010      ;Ordinária;                     ;0,55929;2010;10880;SONDOTECNICA
4;Reunião do Conselho de Administração;05/11/2010;16/11/2010      ;Preferencial;Preferencial Classe A;0,61522;2010;10880;SONDOTECNICA
5;Reunião do Conselho de Administração;05/11/2010;16/11/2010      ;Preferencial;Preferencial Classe B;0,62081;2010;10880;SONDOTECNICA
6;Reunião do Conselho de Administração;05/11/2010;30/12/2010      ;Ordinária;                     ;0,55929;2010;10880;SONDOTECNICA
7;Reunião do Conselho de Administração;05/11/2010;30/12/2010      ;Preferencial;Preferencial Classe A;0,61522;2010;10880;SONDOTECNICA
8;Reunião do Conselho de Administração;05/11/2010;30/12/2010      ;Preferencial;Preferencial Classe B;0,62081;2010;10880;SONDOTECNICA
0;Reunião do Conselho de Administração;05/10/2010;19/10/2010      ;Ordinária;              ;1,60500;2010;11070;WLM IND COM
1;Reunião do Conselho de Administração;05/10/2010;19/10/2010      ;Preferencial;              ;1,76550;2010;11070;WLM IND COM
