;QtdAcoes;ano;cvm;empresa_descr
0;2.860.729.247  ;2010;1023;BRASIL
0;353.45599999999996;2010;10456;ALPARGATAS
0;28.596;2010;10472;SARAIVA LIVR
0;2.568;2010;10880;SONDOTECNICA
0;12.647;2010;10960;SPRINGER
0;7.282.934  ;2010;11070;WLM IND COM
0;10.541.442  ;2010;1120;BANESE
0;38.359;2010;11223;TEKA
0;2.635;2010;11231;TEKNO
0;603.02;2010;11312;OI
0;2.321.500  ;2010;11398;CRISTAL
0;151.488;2010;1155;BANESTES
0;835.498;2010;11592;UNIPAR
0;70.000.000  ;2010;11762;VULCABRAS
0;94.863;2010;11932;IOCHP-MAXION
0;27.0;2010;11975;AZEVEDO
0;5.145;2010;11991;WETZEL SA
0;408.974;2010;1210;BANRISUL
0;54.065;2010;12190;BOMBRIL
0;11.651;2010;12530;ITAUTEC
0;51.278999999999996;2010;12572;RECRUSUL
0;917.683.296  ;2010;12653;KLABIN SA
0;19.291;2010;12696;SANSUY
0;185.955;2010;12823;ALIPERTI
0;35.4;2010;1325;MERC BRASIL
0;10.582;2010;13285;JOSAPAR
0;166.43;2010;13471;PLASCAR PART
0;405.720.000  ;2010;13765;MINUPAR
0;159.009;2010;13773;PORTOBELLO
0;57.736999999999995;2010;13781;SAO CARLOS
0;90.22399999999999;2010;1384;ALFA INVEST
0;408.892;2010;13986;SUZANO S.A
0;243.785;2010;14109;RANDON PART
0;1.036.926.806  ;2010;14133;TECTOY
0;36.305;2010;14206;BRB BANCO
0;273.655.375  ;2010;14311;COPEL
0;1.013.786.190  ;2010;14320;USIMINAS
0;1.502.786  ;2010;14346;WHIRLPOOL
0;227.83599999999998;2010;14443;SABESP
0;9.183;2010;14451;CEB
0;423.004;2010;14460;CYRELA REALT
0;63.817;2010;14664;SCHULZ
0;162.722;2010;14761;CIA HERING
0;257.774;2010;14826;P.ACUCAR-CBD
0;283.286;2010;15091;LITEL
0;1.600.000  ;2010;1520;BARDELLA
0;1.099.857  ;2010;15253;ENERGISA
0;707.543.040  ;2010;15300;ALL NORTE
0;210.197.643.696  ;2010;15369;FER C ATLANT
0;149.678;2010;15458;BATTISTELLA
0;5.850.636  ;2010;15539;NEOENERGIA
0;980.0;2010;1562;BAUMER
0;431.515;2010;16101;GAFISA
0;872.473.246  ;2010;16292;BRF SA
0;266.436.388  ;2010;16306;ROSSI RESID
0;48.582.043  ;2010;16438;SUL 116 PART
0;1.9;2010;16497;ENCORPAR
0;52.437;2010;16624;UPTICK
0;104.425;2010;16632;GPC PART
0;327.642;2010;16659;PORTO SEGURO
0;454.75;2010;1694;BIC MONARK
0;36.946999999999996;2010;16993;EMAE
0;652.742.192  ;2010;17329;ENGIE BRASIL
0;689.122.312  ;2010;17450;RUMO S.A
0;8.766.858  ;2010;17493;CAPITALPART
0;21.570.000  ;2010;17558;SELECTPART
0;2.475.735.060  ;2010;17639;TIM PART SA
0;506.23699999999997;2010;17671;TELEF BRASIL
0;655.7760000000001;2010;17892;SANTOS BRP
0;472.973;2010;17914;MMX MINER
0;230.998.214  ;2010;17922;BRAZILIAN FR
0;2.000.867.965  ;2010;17930;ALL PAULISTA
0;466.24;2010;17973;KROTON
0;66.003;2010;18287;CIBRASEC
0;151.829;2010;18376;TRAN PAULIST
0;115.381;2010;18414;IDEIASNET
0;544.383.996  ;2010;18465;ULTRAPAR
0;481.137.130  ;2010;18660;CPFL ENERGIA
0;12.850.278  ;2010;18708;PAR AL BAHIA
0;349.548;2010;18724;BRADESPAR
0;273.299.352  ;2010;18775;INVEPAR
0;441.396.800  ;2010;18821;CCR SA
0;205.487.716  ;2010;18953;CPFL GERACAO
0;650.000.008  ;2010;18970;AES TIETE E
0;459.20599999999996;2010;19062;AGPART
0;59.770.600  ;2010;19100;LIQ
0;17.338;2010;19305;BIOMM
0;146.0;2010;19330;TRIUNFO PART
0;4.570.936  ;2010;19348;ITAUUNIBANCO
0;111.050.752  ;2010;19437;AGCONCESSOES
0;115.29899999999999;2010;19445;COPASA
0;558.6990000000001;2010;19453;ECORODOVIAS
0;430.881;2010;19550;NATURA
0;270.337;2010;19569;GOL
0;300.720.000  ;2010;19615;GRENDENE
0;229.611.740  ;2010;19623;DASA
0;110.0;2010;19658;POMIFRUTAS
0;201.708;2010;19739;LOCALIZA
0;158.805;2010;19763;ENERGIAS BR
0;2.725;2010;19860;RBCAPITALSEC
0;203.934.060  ;2010;19879;LIGHT SA
0;406.277;2010;19909;BR MALLS PAR
0;139.512;2010;19925;BR PROPERT
0;31.459;2010;19992;TOTVS
0;108.826.325  ;2010;20010;EQUATORIAL
0;51.5;2010;20028;VALID
0;47.737.703  ;2010;20060;LUPATECH
0;740.465;2010;20087;EMBRAER
0;177.098.264  ;2010;20125;ODONTOPREV
0;263.499;2010;20257;TAESA
0;2.896.785  ;2010;20320;CEMIG GT
0;113.45;2010;20338;M.DIASBRANCO
0;33.164;2010;20346;PROFARMA
0;1.084.190  ;2010;20354;TERRA SANTA
0;87.8;2010;20362;POSITIVO TEC
0;55.202;2010;20370;LOPES BRASIL
0;145.38299999999998;2010;20435;TECNISA
0;48.575;2010;20451;RNI
0;1.106.242  ;2010;20478;PDG REALT
0;79.255.489  ;2010;20494;IGUATEMI
0;233.293.408  ;2010;20524;EVEN
0;399.044.117  ;2010;20532;SANTANDER BR
0;708.403.499  ;2010;20540;CPFL RENOVAV
0;85.40899999999999;2010;20567;PINE
0;2.567.471.476  ;2010;20575;JBS
0;426.374.825  ;2010;20605;JHSF PART
0;41.43899999999999;2010;20613;METALFRIO
0;48.471000000000004;2010;20621;FER HERINGER
0;46.136.250  ;2010;20630;CR2
0;285.309;2010;20702;VIVER
0;91.712;2010;20710;LOG-IN
0;98.897.500  ;2010;20745;SLC AGRICOLA
0;146.724.120  ;2010;20770;EZTEC
0;346.983.954  ;2010;20788;MARFRIG
0;66.003;2010;20800;TEGMA
0;65.097;2010;20877;HELBOR
0;41.212.984  ;2010;20885;INDUSVAL
0;482.435;2010;20915;MRV
0;105.793.418  ;2010;20931;MINERVA
0;135.644.240  ;2010;20958;ABC BRASIL
0;143.64700000000002;2010;20966;SPRINGS
0;179.197.214  ;2010;20982;MULTIPLAN
0;113.562.867  ;2010;20990;B2W DIGITAL
0;50.480.600  ;2010;21008;GENERALSHOPP
0;36.96;2010;2100;CAMBUCI
0;82.038.041  ;2010;21016;ESTACIO PART
0;340;2010;21032;ALGAR TELEC
0;86.5;2010;21040;CYRE COM-CCP
0;458.362.776  ;2010;21091;DURATEX
0;831.892.440  ;2010;21121;SUL AMERICA
0;81.79899999999999;2010;21130;TRISUL
0;400.652;2010;21148;TENDA
0;21.831999999999997;2010;21156;J.MACEDO
0;168.877;2010;21180;BR BROKERS
0;244.343.940  ;2010;21199;BANCO PAN
0;136.69299999999998;2010;21237;ENEVA
0;139.467;2010;21300;ALIANSCE
0;11.212.500  ;2010;21342;OSX BRASIL
0;133.407.162  ;2010;21350;DIRECIONAL
0;32.774;2010;21393;CELGPAR
0;547.846;2010;21431;HYPERA
0;57.25;2010;21440;LE LIS BLANC
0;163.91;2010;21490;ALUPAR
0;144.73;2010;21555;UNIDAS
0;2.044.014.295  ;2010;21610;B3
0;140.763.600  ;2010;21636;RENOVA
0;41.207;2010;21717;TARPON INV
0;1.364.783.800  ;2010;21733;CIELO
0;131.298.550  ;2010;21881;FLEURY
0;391.283;2010;21903;ECON
0;198.89;2010;22020;JSL
0;184.551;2010;22055;LOJAS MARISA
0;4.619.349  ;2010;22187;PETRORIO
0;936.216;2010;22217;ALPER S.A
0;78.248;2010;22349;AREZZO CO
0;531.7280000000001;2010;22357;SIERRABRASIL
0;62.021.962  ;2010;22365;ENAUTA PART
0;57.466;2010;22454;TIME FOR FUN
0;150.0;2010;22470;MAGAZ LUIZA
0;1.614.883  ;2010;22497;QUALICORP
0;73.950.000  ;2010;22500;BR PHARMA
0;128.591.827  ;2010;22519;TECHNOS
0;339.366.954  ;2010;22551;SOMOS EDUCA
0;100.000.000  ;2010;22594;STATKRAFT
0;31.189.890  ;2010;22691;LOCAMERICA
0;8.104;2010;2429;CELUL IRANI
0;1.132.357.090  ;2010;2437;ELETROBRAS
0;682.415;2010;2453;CEMIG
0;38.571;2010;2461;CELESC
0;88.320.000  ;2010;3069;FERBASA
0;3.569.059  ;2010;3077;CEDRO
0;7.68;2010;3115;SEG AL BAHIA
0;116.675;2010;3158;COTEMINAS
