;Volume;ano;cvm;empresa_descr
0;1.993.059;2010;1023;BCO BRASIL S.A
0;25.732;2010;10456;ALPARGATAS
0;23.709;2010;10472;SARAIVA LIVR
0;307;2010;10880;SONDOTECNICA
0;19.579.401;2010;10960;SPRINGER
0;19.579.401;2010;11070;WLM PART. E
0;771;2010;1120;BANESE
0;53.478;2010;11223;TEKA
0;19.579.401;2010;11231;TEKNO
0;19.579.401;2010;11312;OI S.A
0;19.579.401;2010;11398;CRISTAL PIGMENTOS DO BRASIL S.A
0;9.204;2010;1155;BANESTES S.A. - BCO EST ESPIRITO SANTO
0;19.579.401;2010;11592;UNIPAR
0;367;2010;11762;VULCABRAS
0;101.56;2010;11932;IOCHPE MAXION S.A
0;277;2010;11975;AZEVEDO
0;654;2010;11991;WETZEL S.A
0;292.629;2010;1210;BCO ESTADO DO RIO GRANDE DO SUL S.A
0;3.4160000000000004;2010;12190;BOMBRIL S.A
0;19.579.401;2010;12530;ITAUTEC
0;19.579.401;2010;12572;RECRUSUL
0;19.579.401;2010;12653;KLABIN S.A
0;7.042000000000001;2010;12696;SANSUY S.A. INDUSTRIA DE PLASTICOS
0;14;2010;12823;ALIPERTI
0;19.579.401;2010;1325;BCO MERCANTIL DO BRASIL S.A
0;19.579.401;2010;13285;JOSAPAR
0;125.28;2010;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A
0;49.083999999999996;2010;13765;MINUPAR
0;8.888;2010;13773;PBG
0;2.276;2010;13781;SAO CARLOS
0;1.893;2010;1384;BCO ALFA DE INVESTIMENTO S.A
0;19.579.401;2010;13986;SUZANO S.A
0;231.18900000000002;2010;14109;RANDON S.A. IMPLEMENTOS E PARTICIPACOES
0;64.577;2010;14133;TEC TOY S.A
0;95;2010;14206;BRB BCO DE BRASILIA S.A
0;488.481;2010;14311;COPEL
0;2.111.043;2010;14320;USIMINAS
0;2.485;2010;14346;WHIRLPOOL
0;19.579.401;2010;14443;SABESP
0;643;2010;14451;CIA ENERGETICA DE BRASILIA
0;1.515.258;2010;14460;CYRELA BRAZIL REALTY S.A.EMPREEND E PART
0;1.554;2010;14664;SCHULZ
0;214.399;2010;14761;CIA HERING
0;19.579.401;2010;14826;CIA BRASILEIRA DE DISTRIBUICAO
0;19.579.401;2010;15091;LITEL
0;735;2010;1520;BARDELLA
0;4.263999999999999;2010;15253;ENERGISA S.A
0;19.579.401;2010;15300;RUMO MALHA NORTE S.A
0;12;2010;15369;FERROVIA CENTRO-ATLANTICA S.A
0;28.271;2010;15458;BATTISTELLA
0;19.579.401;2010;15539;NEOENERGIA S.A
0;19.579.401;2010;1562;BAUMER
0;19.579.401;2010;16101;GAFISA S.A
0;910.262;2010;16292;BRF S.A
0;1.012.658;2010;16306;ROSSI RESID
