Razão Social                                      	Nome de Pregão	Segmento	Código CVM
524 PARTICIPACOES S.A.                            	524 PARTICIP  	MB      	16284     
ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.  	ADVANCED-DH   	        	21725     
AES TIETE ENERGIA SA                              	AES TIETE E   	N2      	18970     
AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A      	AFLUENTE T    	        	22179     
ALEF S.A.                                         	ALEF S/A      	MB      	16705     
ALFA HOLDINGS S.A.                                	ALFA HOLDING  	        	9954      
ALGAR TELECOM S/A                                 	ALGAR TELEC   	        	21032     
ALIANSCE SHOPPING CENTERS S.A.                    	ALIANSCE      	NM      	21300     
ALPARGATAS S.A.                                   	ALPARGATAS    	N1      	10456     
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.     	ALPER S.A.    	NM      	22217     
ALTERE SECURITIZADORA S.A.                        	ALTERE SEC    	        	18066     
ALUPAR INVESTIMENTO S/A                           	ALUPAR        	N2      	21490     
AMBEV S.A.                                        	AMBEV S/A     	        	23264     
AMPLA ENERGIA E SERVICOS S.A.                     	AMPLA ENERG   	        	3050      
ANDRADE GUTIERREZ CONCESSOES S.A.                 	AGCONCESSOES  	MB      	19437     
ANDRADE GUTIERREZ PARTICIPACOES S.A.              	AGPART        	MB      	19062     
ANIMA HOLDING S.A.                                	ANIMA         	NM      	23248     
AREZZO INDÚSTRIA E COMÉRCIO S.A.                  	AREZZO CO     	NM      	22349     
ATACADÃO S.A.                                     	CARREFOUR BR  	NM      	24171     
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.         	ATOMPAR       	        	15423     
AZEVEDO E TRAVASSOS S.A.                          	AZEVEDO       	        	11975     
AZUL S.A.                                         	AZUL          	N2      	24112     
B2W - COMPANHIA DIGITAL                           	B2W DIGITAL   	NM      	20990     
B3 S.A. - BRASIL, BOLSA, BALCÃO                   	B3            	NM      	21610     
BAHEMA S.A.                                       	BAHEMA        	MA      	701       
BANCO INTER S.A.                                  	BANCO INTER   	N1      	24406     
BANESTES S.A. - BCO EST ESPIRITO SANTO            	BANESTES      	        	1155      
BARDELLA S.A. INDUSTRIAS MECANICAS                	BARDELLA      	        	1520      
BATTISTELLA ADM PARTICIPACOES S.A.                	BATTISTELLA   	        	15458     
BAUMER S.A.                                       	BAUMER        	        	1562      
BB SEGURIDADE PARTICIPAÇÕES S.A.                  	BBSEGURIDADE  	NM      	23159     
BBM LOGISTICA S.A.                                	BBMLOGISTICA  	MA      	24660     
BCO ABC BRASIL S.A.                               	ABC BRASIL    	N2      	20958     
BCO ALFA DE INVESTIMENTO S.A.                     	ALFA INVEST   	        	1384      
BCO AMAZONIA S.A.                                 	AMAZONIA      	        	922       
BCO BRADESCO S.A.                                 	BRADESCO      	N1      	906       
BCO BRASIL S.A.                                   	BRASIL        	NM      	1023      
BCO BTG PACTUAL S.A.                              	BTGP BANCO    	        	22616     
BCO ESTADO DE SERGIPE S.A. - BANESE               	BANESE        	        	1120      
BCO ESTADO DO PARA S.A.                           	BANPARA       	        	1171      
BCO ESTADO DO RIO GRANDE DO SUL S.A.              	BANRISUL      	N1      	1210      
BCO INDUSVAL S.A.                                 	INDUSVAL      	N2      	20885     
BCO MERCANTIL DE INVESTIMENTOS S.A.               	MERC INVEST   	        	1309      
BCO MERCANTIL DO BRASIL S.A.                      	MERC BRASIL   	        	1325      
BCO NORDESTE DO BRASIL S.A.                       	NORD BRASIL   	        	1228      
BCO PAN S.A.                                      	BANCO PAN     	N1      	21199     
BCO PATAGONIA S.A.                                	PATAGONIA     	DR3     	80063     
BCO PINE S.A.                                     	PINE          	N2      	20567     
BCO SANTANDER (BRASIL) S.A.                       	SANTANDER BR  	        	20532     
BETA SECURITIZADORA S.A.                          	BETA SECURIT  	        	19747     
BETAPART PARTICIPACOES S.A.                       	BETAPART      	MB      	17884     
BICICLETAS MONARK S.A.                            	BIC MONARK    	        	1694      
BIOMM S.A.                                        	BIOMM         	MA      	19305     
BIOSEV S.A.                                       	BIOSEV        	NM      	22845     
BIOTOSCANA INVESTMENTS S.A.                       	BIOTOSCANA    	DR3     	80179     
BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA 	BK BRASIL     	NM      	24317     
BNDES PARTICIPACOES S.A. - BNDESPAR               	BNDESPAR      	MB      	16772     
BOMBRIL S.A.                                      	BOMBRIL       	        	12190     
