ok_2010_94_CQTA_PANATLANTICA  _6271_2
ok_2010_701_CQTA_BAHEMA        _5157_2
erro_2010_906_CQTA_BRADESCO      _<class 'AssertionError'>
ok_2010_1023_CQTA_BRASIL        _6945_2
ok_2010_1120_CQTA_BANESE        _7785_2
ok_2010_1155_CQTA_BANESTES      _8387_2
ok_2010_1210_CQTA_BANRISUL      _6997_2
ok_2010_1325_CQTA_MERC BRASIL   _6942_2
ok_2010_1384_CQTA_ALFA INVEST   _5590_2
ok_2010_1520_CQTA_BARDELLA      _6361_2
ok_2010_1562_CQTA_BAUMER        _6397_2
ok_2010_1694_CQTA_BIC MONARK    _5708_2
ok_2010_2100_CQTA_CAMBUCI       _5591_2
ok_2010_2429_CQTA_CELUL IRANI   _5798_2
ok_2010_2437_CQTA_ELETROBRAS    _15148_2
ok_2010_2453_CQTA_CEMIG         _6653_2
ok_2010_2461_CQTA_CELESC        _6066_2
ok_2010_3069_CQTA_FERBASA       _5790_2
ok_2010_3077_CQTA_CEDRO         _6403_2
ok_2010_3115_CQTA_SEG AL BAHIA  _5026_2
ok_2010_3158_CQTA_COTEMINAS     _6584_2
ok_2010_3190_CQTA_REDE ENERGIA  _5911_2
ok_2010_3298_CQTA_HABITASUL     _6009_2
ok_2010_3395_CQTA_IND CATAGUAS  _6207_2
ok_2010_3654_CQTA_MELHOR SP     _9543_2
ok_2010_3980_CQTA_GERDAU        _5129_2
ok_2010_4030_CQTA_SID NACIONAL  _5742_2
ok_2010_4081_CQTA_SANTANENSE    _6585_2
ok_2010_4146_CQTA_KARSTEN       _5958_2
ok_2010_4170_CQTA_VALE          _4976_2
ok_2010_4359_CQTA_ELEKEIROZ     _4917_2
ok_2010_4537_CQTA_GRAZZIOTIN    _11451_2
ok_2010_4669_CQTA_GUARARAPES    _5946_2
ok_2010_4707_CQTA_ALFA CONSORC  _5639_2
ok_2010_4723_CQTA_CONST A LIND  _6277_2
ok_2010_4820_CQTA_BRASKEM       _5303_2
ok_2010_4863_CQTA_COR RIBEIRO   _6253_2
ok_2010_5207_CQTA_DOHLER        _6006_2
ok_2010_5312_CQTA_MUNDIAL       _6315_2
ok_2010_5410_CQTA_WEG           _4906_2
ok_2010_5762_CQTA_ETERNIT       _5203_2
ok_2010_5770_CQTA_EUCATEX       _6491_2
ok_2010_6173_CQTA_FORJA TAURUS  _6500_2
ok_2010_6211_CQTA_FRAS-LE       _5228_2
ok_2010_6343_CQTA_TUPY          _5873_2
ok_2010_6505_CQTA_VIAVAREJO     _4930_2
ok_2010_6700_CQTA_HOTEIS OTHON  _9580_2
ok_2010_6815_CQTA_IGB SA       _6725_2
ok_2010_7510_CQTA_INDS ROMI     _6525_2
ok_2010_7544_CQTA_TEX RENAUX    _6373_2
ok_2010_7595_CQTA_INEPAR        _6838_2
ok_2010_7617_CQTA_ITAUSA        _5780_2
ok_2010_7811_CQTA_JOAO FORTES   _5783_2
ok_2010_7870_CQTA_KEPLER WEBER  _5668_2
ok_2010_8087_CQTA_LOJAS AMERIC  _9803_2
ok_2010_8133_CQTA_LOJAS RENNER  _4793_2
ok_2010_8192_CQTA_TREVISA       _6153_2
ok_2010_8397_CQTA_MANGELS INDL  _6962_2
ok_2010_8427_CQTA_ESTRELA       _31760_2
ok_2010_8451_CQTA_MARCOPOLO     _4934_2
ok_2010_8575_CQTA_METAL LEVE    _5869_2
ok_2010_8656_CQTA_GERDAU MET    _5131_2
ok_2010_8672_CQTA_JEREISSATI    _9652_2
ok_2010_8753_CQTA_METISA        _5975_2
ok_2010_8893_CQTA_MONT ARANHA   _10140_2
ok_2010_9040_CQTA_NADIR FIGUEI  _11918_2
ok_2010_9067_CQTA_SUZANO HOLD   _5811_2
ok_2010_9342_CQTA_DIMED         _7619_2
ok_2010_9393_CQTA_PARANAPANEMA  _6747_2
ok_2010_9512_CQTA_PETROBRAS     _5169_2
ok_2010_9954_CQTA_ALFA HOLDING  _21111_2
erro_2010_9989_CQTA_PET MANGUINH  _<class 'selenium.common.exceptions.NoSuchElementException'>
ok_2010_10456_CQTA_ALPARGATAS    _6003_2
ok_2010_10472_CQTA_SARAIVA LIVR  _5555_2
ok_2010_10880_CQTA_SONDOTECNICA  _6350_2
ok_2010_10960_CQTA_SPRINGER      _6612_2
ok_2010_11070_CQTA_WLM IND COM   _6640_2
ok_2010_11223_CQTA_TEKA          _6495_2
ok_2010_11231_CQTA_TEKNO         _5844_2
ok_2010_11312_CQTA_OI            _6058_2
ok_2010_11398_CQTA_CRISTAL       _5762_2
ok_2010_11592_CQTA_UNIPAR        _5515_2
ok_2010_11762_CQTA_VULCABRAS     _5081_2
ok_2010_11932_CQTA_IOCHP-MAXION  _4924_2
ok_2010_11975_CQTA_AZEVEDO       _6082_2
ok_2010_11991_CQTA_WETZEL SA    _5950_2
ok_2010_12190_CQTA_BOMBRIL       _5791_2
ok_2010_12530_CQTA_ITAUTEC       _5174_2
ok_2010_12572_CQTA_RECRUSUL      _5808_2
ok_2010_12653_CQTA_KLABIN SA    _4933_2
ok_2010_12696_CQTA_SANSUY        _5941_2
ok_2010_12823_CQTA_ALIPERTI      _8423_2
ok_2010_13285_CQTA_JOSAPAR       _6947_2
ok_2010_13471_CQTA_PLASCAR PART  _5153_2
ok_2010_13765_CQTA_MINUPAR       _9839_2
ok_2010_13773_CQTA_PORTOBELLO    _5401_2
ok_2010_13781_CQTA_SAO CARLOS    _5645_2
ok_2010_13986_CQTA_SUZANO S.A.   _5059_2
ok_2010_14109_CQTA_RANDON PART   _5278_2
ok_2010_14133_CQTA_TECTOY        _5718_2
ok_2010_14206_CQTA_BRB BANCO     _6775_2
ok_2010_14311_CQTA_COPEL         _5889_2
ok_2010_14320_CQTA_USIMINAS      _5291_2
ok_2010_14346_CQTA_WHIRLPOOL     _5598_2
ok_2010_14443_CQTA_SABESP        _5881_2
ok_2010_14451_CQTA_CEB           _10177_2
ok_2010_14460_CQTA_CYRELA REALT  _5876_2
ok_2010_14664_CQTA_SCHULZ        _13210_2
ok_2010_14761_CQTA_CIA HERING    _5143_2
ok_2010_14826_CQTA_P.ACUCAR-CBD  _7730_2
ok_2010_15091_CQTA_LITEL         _8333_2
ok_2010_15253_CQTA_ENERGISA      _5374_2
ok_2010_15300_CQTA_ALL NORTE     _5937_2
ok_2010_15369_CQTA_FER C ATLANT  _4972_2
ok_2010_15458_CQTA_BATTISTELLA   _5702_2
ok_2010_15539_CQTA_NEOENERGIA    _4855_2
ok_2010_16101_CQTA_GAFISA        _5759_2
ok_2010_16292_CQTA_BRF SA        _6508_2
ok_2010_16306_CQTA_ROSSI RESID   _21664_2
ok_2010_16438_CQTA_SUL 116 PART  _5926_2
ok_2010_16497_CQTA_ENCORPAR      _6588_2
ok_2010_16624_CQTA_UPTICK        _6295_2
ok_2010_16632_CQTA_GPC PART      _6250_2
ok_2010_16659_CQTA_PORTO SEGURO  _5063_2
ok_2010_16993_CQTA_EMAE          _6081_2
ok_2010_17329_CQTA_ENGIE BRASIL  _6427_2
ok_2010_17450_CQTA_RUMO S.A.     _6320_2
ok_2010_17493_CQTA_CAPITALPART   _5907_2
ok_2010_17558_CQTA_SELECTPART    _5910_2
ok_2010_17639_CQTA_TIM PART SA  _5271_2
ok_2010_17671_CQTA_TELEF BRASIL  _4773_2
ok_2010_17892_CQTA_SANTOS BRP    _4565_2
ok_2010_17914_CQTA_MMX MINER     _5488_2
ok_2010_17922_CQTA_BRAZILIAN FR  _6113_2
ok_2010_17930_CQTA_ALL PAULISTA  _5940_2
ok_2010_17973_CQTA_KROTON        _8746_2
ok_2010_18287_CQTA_CIBRASEC      _5410_2
ok_2010_18376_CQTA_TRAN PAULIST  _6642_2
ok_2010_18414_CQTA_IDEIASNET     _6673_2
ok_2010_18465_CQTA_ULTRAPAR      _4927_2
ok_2010_18660_CQTA_CPFL ENERGIA  _5752_2
ok_2010_18708_CQTA_PAR AL BAHIA  _6545_2
ok_2010_18724_CQTA_BRADESPAR     _5596_2
ok_2010_18775_CQTA_INVEPAR       _5924_2
ok_2010_18821_CQTA_CCR SA        _5330_2
ok_2010_18953_CQTA_CPFL GERACAO  _5756_2
ok_2010_18970_CQTA_AES TIETE E   _5659_2
ok_2010_19062_CQTA_AGPART        _6573_2
ok_2010_19100_CQTA_LIQ           _5521_2
ok_2010_19305_CQTA_BIOMM         _7205_2
ok_2010_19330_CQTA_TRIUNFO PART  _21399_2
ok_2010_19348_CQTA_ITAUUNIBANCO  _11545_2
ok_2010_19437_CQTA_AGCONCESSOES  _6017_2
ok_2010_19445_CQTA_COPASA        _5323_2
ok_2010_19453_CQTA_ECORODOVIAS   _8103_2
ok_2010_19550_CQTA_NATURA        _4942_2
ok_2010_19569_CQTA_GOL           _4959_2
ok_2010_19615_CQTA_GRENDENE      _4980_2
ok_2010_19623_CQTA_DASA          _5703_2
ok_2010_19658_CQTA_POMIFRUTAS    _6996_2
ok_2010_19739_CQTA_LOCALIZA      _5142_2
erro_2010_19763_CQTA_ENERGIAS BR   _<class 'selenium.common.exceptions.NoSuchElementException'>
ok_2010_19860_CQTA_RBCAPITALSEC  _6232_2
ok_2010_19879_CQTA_LIGHT SA     _5658_2
ok_2010_19909_CQTA_BR MALLS PAR  _21727_2
ok_2010_19925_CQTA_BR PROPERT    _5372_2
ok_2010_19992_CQTA_TOTVS         _4506_2
ok_2010_20010_CQTA_EQUATORIAL    _22032_2
ok_2010_20028_CQTA_VALID         _5375_2
ok_2010_20060_CQTA_LUPATECH      _5099_2
