CVM;Nome
94;PANATLANTICA  
701;BAHEMA        
906;BRADESCO      
1023;BRASIL        
1120;BANESE        
1155;BANESTES      
1210;BANRISUL      
1325;MERC BRASIL   
1384;ALFA INVEST   
1520;BARDELLA      
1562;BAUMER        
1694;BIC MONARK    
2100;CAMBUCI       
2429;CELUL IRANI   
2437;ELETROBRAS    
2453;CEMIG         
2461;CELESC        
3069;FERBASA       
3077;CEDRO         
3115;SEG AL BAHIA  
3158;COTEMINAS     
3190;REDE ENERGIA  
3204;CEEE-GT       
3298;HABITASUL     
3395;IND CATAGUAS  
3654;MELHOR SP     
3980;GERDAU        
4030;SID NACIONAL  
4081;SANTANENSE
4146;KARSTEN       
4170;VALE          
4359;ELEKEIROZ     
4537;GRAZZIOTIN    
4669;GUARARAPES    
4707;ALFA CONSORC  
4723;CONST A LIND  
4820;BRASKEM       
4863;COR RIBEIRO   
5207;DOHLER        
5258;RAIADROGASIL  
5312;MUNDIAL       
5380;ACO ALTONA    
5410;WEG           
5762;ETERNIT       
5770;EUCATEX       
6173;FORJA TAURUS  
6211;FRAS-LE       
6343;TUPY          
6505;VIAVAREJO     
6700;HOTEIS OTHON  
6815;IGB SA       
7510;INDS ROMI     
7544;TEX RENAUX    
7595;INEPAR        
7617;ITAUSA        
7811;JOAO FORTES   
7870;KEPLER WEBER  
8087;LOJAS AMERIC  
8133;LOJAS RENNER  
8192;TREVISA       
8397;MANGELS INDL  
8427;ESTRELA       
8451;MARCOPOLO     
8575;METAL LEVE    
8656;GERDAU MET    
8672;JEREISSATI    
8753;METISA        
8893;MONT ARANHA   
9040;NADIR FIGUEI  
9067;SUZANO HOLD   
9342;DIMED         
9393;PARANAPANEMA  
9415;SPTURIS       
9512;PETROBRAS     
9954;ALFA HOLDING  
9989;PET MANGUINH  
10456;ALPARGATAS    
10472;SARAIVA LIVR  
10880;SONDOTECNICA  
10960;SPRINGER      
11070;WLM IND COM   
11207;TECNOSOLO     
11223;TEKA          
11231;TEKNO         
11258;TELEBRAS      
11312;OI            
11398;CRISTAL       
11592;UNIPAR        
11762;VULCABRAS     
11932;IOCHP-MAXION  
11975;AZEVEDO       
11991;WETZEL SA    
12190;BOMBRIL       
12319;J B DUARTE    
12530;ITAUTEC       
12572;RECRUSUL      
12653;KLABIN SA    
12696;SANSUY        
12823;ALIPERTI      
13285;JOSAPAR       
13366;HAGA SA      
13471;PLASCAR PART  
13765;MINUPAR       
13773;PORTOBELLO    
13781;SAO CARLOS    
13986;SUZANO S.A.   
14109;RANDON PART   
14133;TECTOY        
14206;BRB BANCO     
14311;COPEL         
14320;USIMINAS      
14346;WHIRLPOOL     
14443;SABESP        
14451;CEB           
14460;CYRELA REALT  
14664;SCHULZ        
14761;CIA HERING    
